Part_ID,Part_Type,Airline_Name,Flight_Number,Temperature (°C),Pressure (bar),Vibration (mm/s),Working_Hours,Maintenance_Required,Failure_Type,Last_Maintenance_Date,Remaining_Life (hours),Flight_Type
PART_00281,Actuator,FlySwift,FN_1582,115.12,139.08,2.43,49242,True,Turbine Overheat,2024-03-24,6895,Private
PART_00139,Navigation Module,Sky High Airlines,FN_1317,93.93,139.99,7.81,17916,True,Oil Leakage,2024-02-23,1122,Commercial
PART_00331,Fuel Line,Global Wings,FN_9999,57.15,293.87,5.91,45078,True,None,2024-09-18,8059,Private
PART_00191,Hydraulic Pump,Global Wings,FN_6302,91.08,191.23,5.33,28376,False,Seal Failure,2024-06-11,1062,Commercial
PART_00296,Navigation Module,Cloud Nine Aviation,FN_9456,50.59,282.65,9.82,22296,True,Pressure Loss,2024-09-02,132,Cargo
PART_00310,Turbine Blade,Sky High Airlines,FN_8849,46.56,141.71,7.95,41031,True,Pressure Loss,2024-07-16,1970,Short-Haul
PART_00170,Fuel Injector,Global Wings,FN_5482,86.15,271.41,8.59,14387,False,Pressure Loss,2024-10-08,3337,Cargo
PART_00220,Actuator,FlySwift,FN_3908,113.12,294.37,7.39,38210,False,Fuel Leakage,2024-10-02,7048,Long-Haul
PART_00354,Control Valve,Cloud Nine Aviation,FN_8922,109.84,211.4,0.0,34649,True,Valve Stuck,2024-02-03,3715,Private
PART_00090,Turbine Blade,Cloud Nine Aviation,FN_8168,70.2,251.01,3.09,38331,True,Seal Failure,2024-12-27,4799,Commercial
PART_00346,Fuel Line,Sky High Airlines,FN_7742,59.4,199.11,3.79,38307,False,Pressure Loss,2024-11-18,4694,Cargo
PART_00089,Turbine Blade,Global Wings,FN_2788,117.35,85.19,4.72,20115,False,None,2024-11-07,6024,Cargo
PART_00472,Control Valve,Global Wings,FN_5873,45.72,169.92,9.97,38138,False,Pressure Loss,2024-07-17,6986,Private
PART_00111,Hydraulic Pump,Cloud Nine Aviation,FN_2392,91.56,212.84,8.86,1549,False,Oil Leakage,2024-12-25,6874,Short-Haul
PART_00155,Control Valve,Cloud Nine Aviation,FN_9093,40.52,78.4,3.23,29867,False,None,2024-04-14,3600,Commercial
PART_00255,Communication Module,FlySwift,FN_3160,55.43,22.97,4.82,13176,True,Fuel Leakage,2024-08-27,585,Commercial
PART_00282,Actuator,Sky High Airlines,FN_9946,96.2,252.35,8.04,40371,True,None,2024-01-15,6200,Private
PART_00458,Actuator,AirJet Airways,FN_9905,58.78,229.47,3.66,10795,False,None,2024-10-25,6843,Short-Haul
PART_00310,Wheel Brake Assembly,Global Wings,FN_8435,114.92,197.55,5.66,48506,False,Fuel Leakage,2024-02-04,5315,Private
PART_00019,Hydraulic Pump,FlySwift,FN_1861,81.66,191.09,9.69,9658,True,Oil Leakage,2024-05-06,4465,Long-Haul
PART_00249,Hydraulic Pump,AirJet Airways,FN_7750,75.33,257.77,8.26,22658,False,Turbine Overheat,2024-09-20,5519,Long-Haul
PART_00095,Hydraulic Pump,Sky High Airlines,FN_8258,117.88,119.53,5.03,43084,False,None,2024-07-23,2843,Cargo
PART_00310,Hydraulic Pump,Global Wings,FN_3468,67.62,122.79,1.93,31601,False,Oil Leakage,2024-04-12,5854,Private
PART_00158,Turbine Blade,FlySwift,FN_4541,68.45,72.59,7.57,49246,True,Oil Leakage,2024-08-24,3611,Short-Haul
PART_00394,Fuel Injector,FlySwift,FN_1826,90.15,103.05,1.42,27825,False,Valve Stuck,2024-06-17,6446,Private
PART_00468,Oil Pump,FlySwift,FN_8125,54.21,61.13,6.23,17780,True,Turbine Overheat,2024-03-10,6476,Cargo
PART_00309,Actuator,Sky High Airlines,FN_1239,113.78,268.35,3.69,43560,True,Oil Leakage,2024-04-15,2948,Long-Haul
PART_00279,Actuator,Sky High Airlines,FN_8307,40.92,118.22,5.41,48765,True,Fuel Leakage,2024-11-23,362,Commercial
PART_00410,Communication Module,Global Wings,FN_6688,81.18,217.82,1.31,16006,False,Valve Stuck,2024-04-18,2056,Long-Haul
PART_00290,Turbine Blade,Global Wings,FN_3320,78.53,270.84,5.33,26060,False,Fuel Leakage,2024-10-13,2915,Short-Haul
PART_00430,Communication Module,Sky High Airlines,FN_1732,71.29,235.41,6.29,43142,False,Fuel Leakage,2024-01-14,7993,Commercial
PART_00475,Oil Pump,Cloud Nine Aviation,FN_6716,99.35,162.7,7.24,11412,True,Fuel Leakage,2024-09-05,9132,Cargo
PART_00291,Fuel Injector,AirJet Airways,FN_9266,47.99,282.11,0.17,25843,True,Seal Failure,2024-12-14,8280,Short-Haul
PART_00040,Communication Module,Sky High Airlines,FN_8997,64.03,62.62,2.99,8375,True,Fuel Leakage,2024-09-18,8452,Commercial
PART_00322,Turbine Blade,Cloud Nine Aviation,FN_4598,88.01,53.19,7.76,24820,False,Fuel Leakage,2024-12-01,5767,Long-Haul
PART_00368,Fuel Line,FlySwift,FN_4053,81.72,207.28,0.29,31653,False,Pressure Loss,2024-04-27,6266,Long-Haul
PART_00266,Fuel Line,Cloud Nine Aviation,FN_7798,65.16,150.56,8.41,49618,False,Seal Failure,2024-08-20,1630,Commercial
PART_00322,Fuel Injector,Cloud Nine Aviation,FN_7922,54.83,154.58,9.05,3235,False,Pressure Loss,2024-07-23,1659,Short-Haul
PART_00291,Navigation Module,AirJet Airways,FN_1229,41.47,266.49,8.01,33595,True,Pressure Loss,2024-05-17,3288,Commercial
PART_00061,Turbine Blade,Sky High Airlines,FN_9482,107.71,51.11,2.96,13710,True,Turbine Overheat,2024-08-19,7987,Private
PART_00160,Fuel Line,Cloud Nine Aviation,FN_7653,101.61,213.06,7.69,46266,False,Oil Leakage,2024-01-25,2609,Private
PART_00449,Control Valve,Global Wings,FN_6588,82.56,122.93,4.84,11013,True,Pressure Loss,2024-07-08,7477,Private
PART_00042,Actuator,FlySwift,FN_5384,63.63,30.55,9.15,41936,False,None,2024-04-26,7720,Short-Haul
PART_00178,Communication Module,AirJet Airways,FN_6174,113.8,226.01,5.58,12908,True,Oil Leakage,2024-09-13,4271,Long-Haul
PART_00131,Oil Pump,AirJet Airways,FN_3995,65.98,136.64,5.97,7414,False,Oil Leakage,2024-01-20,1256,Cargo
PART_00006,Fuel Line,AirJet Airways,FN_3882,85.08,170.52,1.21,20190,True,None,2024-09-17,2688,Cargo
PART_00227,Hydraulic Pump,AirJet Airways,FN_9039,103.42,158.67,1.13,49506,False,Fuel Leakage,2024-05-22,4334,Private
PART_00177,Navigation Module,FlySwift,FN_4663,47.88,24.73,2.99,2853,True,Seal Failure,2024-11-21,3303,Long-Haul
PART_00054,Turbine Blade,Cloud Nine Aviation,FN_3242,47.52,160.28,7.4,8961,True,Valve Stuck,2024-04-03,6035,Private
PART_00429,Wheel Brake Assembly,FlySwift,FN_2841,63.51,25.75,3.23,28196,True,Seal Failure,2024-04-19,6263,Private
PART_00211,Oil Pump,Global Wings,FN_6711,64.5,14.9,3.73,42939,True,Turbine Overheat,2024-04-19,2111,Private
PART_00151,Oil Pump,Cloud Nine Aviation,FN_6926,68.32,60.56,9.66,12498,False,Fuel Leakage,2024-01-09,105,Commercial
PART_00335,Control Valve,FlySwift,FN_7376,94.68,97.31,5.92,21742,True,Pressure Loss,2024-11-12,1761,Short-Haul
PART_00315,Fuel Injector,AirJet Airways,FN_3940,60.94,108.8,2.69,46205,False,Turbine Overheat,2024-05-23,271,Commercial
PART_00178,Fuel Injector,AirJet Airways,FN_6555,82.85,14.28,8.82,32971,False,Turbine Overheat,2024-04-08,8981,Commercial
PART_00325,Communication Module,Global Wings,FN_7243,51.99,221.54,0.03,14082,True,Oil Leakage,2024-12-27,509,Long-Haul
PART_00323,Fuel Injector,AirJet Airways,FN_8546,90.46,288.58,1.6,46583,True,Valve Stuck,2024-04-10,6103,Short-Haul
PART_00057,Navigation Module,Sky High Airlines,FN_4609,43.85,145.24,2.38,16912,False,Turbine Overheat,2024-12-11,3969,Commercial
PART_00399,Wheel Brake Assembly,Cloud Nine Aviation,FN_9904,113.9,176.78,8.95,26182,True,Turbine Overheat,2024-06-19,8899,Private
PART_00436,Oil Pump,Global Wings,FN_4108,110.19,294.48,7.0,27842,True,Fuel Leakage,2024-05-08,9753,Short-Haul
PART_00117,Fuel Injector,AirJet Airways,FN_9022,64.59,209.14,8.38,33719,False,None,2024-10-16,9055,Long-Haul
PART_00211,Hydraulic Pump,Sky High Airlines,FN_1850,89.3,63.33,4.99,1085,False,Fuel Leakage,2024-09-26,2464,Short-Haul
PART_00334,Actuator,Global Wings,FN_1213,53.32,79.63,4.09,49663,True,Seal Failure,2024-02-02,1451,Short-Haul
PART_00322,Hydraulic Pump,FlySwift,FN_7520,93.2,76.08,1.79,28184,True,Turbine Overheat,2024-08-26,5461,Commercial
PART_00201,Control Valve,Cloud Nine Aviation,FN_4909,116.05,204.18,4.09,23493,False,Pressure Loss,2024-05-14,7035,Long-Haul
PART_00194,Fuel Injector,Sky High Airlines,FN_5902,47.77,156.98,1.64,17895,False,Valve Stuck,2024-09-28,9856,Private
PART_00153,Fuel Injector,Sky High Airlines,FN_2152,92.03,23.59,2.53,41502,False,Oil Leakage,2024-08-04,4898,Commercial
PART_00038,Control Valve,Global Wings,FN_7480,56.07,226.52,4.15,47743,True,Turbine Overheat,2024-09-02,4985,Long-Haul
PART_00084,Control Valve,Cloud Nine Aviation,FN_2249,92.63,45.01,6.27,3628,False,Turbine Overheat,2024-11-05,1098,Short-Haul
PART_00073,Communication Module,FlySwift,FN_8591,66.24,152.36,0.35,28826,True,None,2024-08-11,4168,Long-Haul
PART_00173,Turbine Blade,Sky High Airlines,FN_3797,61.57,221.85,5.94,20278,False,Turbine Overheat,2024-10-01,9934,Long-Haul
PART_00272,Wheel Brake Assembly,Sky High Airlines,FN_3548,68.38,53.26,2.14,30124,True,Turbine Overheat,2024-03-02,9511,Private
PART_00372,Turbine Blade,FlySwift,FN_4380,58.24,135.1,2.09,39840,True,None,2024-09-08,2398,Long-Haul
PART_00192,Fuel Line,Sky High Airlines,FN_6706,60.57,254.25,6.3,17547,False,Fuel Leakage,2024-10-07,619,Private
PART_00008,Fuel Line,Global Wings,FN_5911,65.29,163.26,7.8,1613,True,Pressure Loss,2024-04-11,4345,Private
PART_00130,Wheel Brake Assembly,AirJet Airways,FN_1067,86.41,244.69,4.55,38250,True,Turbine Overheat,2024-03-26,6644,Private
PART_00078,Hydraulic Pump,Sky High Airlines,FN_9529,45.51,56.54,0.54,18954,False,Turbine Overheat,2024-11-07,7715,Private
PART_00307,Turbine Blade,AirJet Airways,FN_4486,43.78,114.33,4.49,47484,True,Valve Stuck,2024-04-21,8341,Short-Haul
PART_00201,Navigation Module,AirJet Airways,FN_8965,60.39,248.86,7.36,46162,True,Fuel Leakage,2024-03-04,5878,Cargo
PART_00260,Communication Module,FlySwift,FN_6136,103.78,252.0,9.21,8547,True,Pressure Loss,2024-05-06,1931,Commercial
PART_00315,Hydraulic Pump,Sky High Airlines,FN_7253,118.43,144.23,0.93,30785,True,Oil Leakage,2024-03-03,5923,Long-Haul
PART_00050,Communication Module,Cloud Nine Aviation,FN_3861,79.22,285.63,2.9,37319,False,Turbine Overheat,2024-06-23,1406,Commercial
PART_00220,Control Valve,Global Wings,FN_2545,51.6,125.03,3.76,26507,False,Fuel Leakage,2024-11-26,6279,Short-Haul
PART_00048,Turbine Blade,AirJet Airways,FN_5897,58.4,258.71,4.79,3343,True,Fuel Leakage,2024-03-21,473,Private
PART_00070,Communication Module,Sky High Airlines,FN_8316,66.16,277.76,0.87,37786,True,Pressure Loss,2024-12-11,4500,Cargo
PART_00054,Fuel Line,Cloud Nine Aviation,FN_3983,73.52,102.62,8.54,11188,False,None,2024-09-24,5394,Commercial
PART_00361,Fuel Injector,Cloud Nine Aviation,FN_7846,94.38,43.03,4.34,34546,True,None,2024-08-11,2948,Short-Haul
PART_00156,Turbine Blade,AirJet Airways,FN_6987,95.24,95.25,4.1,37009,False,Valve Stuck,2024-05-07,3611,Commercial
PART_00187,Turbine Blade,Global Wings,FN_1354,117.63,230.14,5.18,21529,False,Pressure Loss,2024-08-05,9210,Cargo
PART_00364,Turbine Blade,AirJet Airways,FN_2273,68.59,143.05,6.66,48174,True,Turbine Overheat,2024-11-11,1374,Cargo
PART_00131,Control Valve,Sky High Airlines,FN_5455,67.24,266.44,9.97,20883,True,Valve Stuck,2024-03-17,848,Long-Haul
PART_00263,Turbine Blade,Sky High Airlines,FN_2654,62.02,276.59,6.28,13398,False,Valve Stuck,2024-02-23,9528,Commercial
PART_00349,Navigation Module,FlySwift,FN_9380,107.08,56.81,0.78,28802,False,Seal Failure,2024-05-21,2339,Private
PART_00043,Hydraulic Pump,AirJet Airways,FN_6204,55.0,97.56,10.0,18038,False,Oil Leakage,2024-02-13,9015,Short-Haul
PART_00010,Fuel Line,AirJet Airways,FN_1857,91.44,195.1,0.62,38391,False,Pressure Loss,2024-10-07,8986,Short-Haul
PART_00431,Communication Module,Global Wings,FN_6943,105.04,157.82,4.61,40144,True,Seal Failure,2024-07-26,6670,Short-Haul
PART_00184,Turbine Blade,AirJet Airways,FN_8847,79.22,96.11,1.65,20376,False,Turbine Overheat,2024-01-24,9181,Private
PART_00084,Navigation Module,Sky High Airlines,FN_4988,67.01,203.03,2.73,24910,True,Turbine Overheat,2024-11-07,3950,Long-Haul
PART_00076,Actuator,Cloud Nine Aviation,FN_2323,55.68,221.19,8.64,36103,True,Turbine Overheat,2024-11-09,4668,Private
PART_00239,Oil Pump,AirJet Airways,FN_1380,46.08,168.72,8.51,1280,False,None,2024-11-26,8455,Commercial
PART_00294,Wheel Brake Assembly,FlySwift,FN_5619,62.97,71.46,9.37,33087,True,None,2024-04-05,5570,Short-Haul
PART_00237,Turbine Blade,Sky High Airlines,FN_9723,45.42,185.42,4.22,28441,False,Oil Leakage,2024-11-20,6565,Commercial
PART_00087,Navigation Module,FlySwift,FN_7542,48.71,286.24,1.38,12670,False,Oil Leakage,2024-10-08,4781,Long-Haul
PART_00008,Fuel Line,FlySwift,FN_9982,42.22,77.16,6.3,36589,True,Seal Failure,2024-05-04,2442,Cargo
PART_00204,Fuel Injector,FlySwift,FN_2290,59.16,223.29,5.62,42080,False,None,2024-09-28,8792,Short-Haul
PART_00054,Oil Pump,Cloud Nine Aviation,FN_5723,89.41,96.49,7.62,27698,False,Pressure Loss,2024-10-06,5257,Private
PART_00075,Control Valve,FlySwift,FN_6923,100.1,36.26,8.95,27190,True,Seal Failure,2024-09-18,7679,Commercial
PART_00475,Fuel Injector,Sky High Airlines,FN_2440,74.72,267.12,5.49,1148,True,Seal Failure,2024-01-16,4222,Private
PART_00280,Navigation Module,FlySwift,FN_3718,59.48,271.56,3.59,23566,True,Oil Leakage,2024-01-02,3979,Commercial
PART_00260,Control Valve,Global Wings,FN_5187,45.99,34.53,6.48,46785,False,Pressure Loss,2024-08-09,9492,Commercial
PART_00042,Communication Module,Global Wings,FN_3183,100.27,46.04,9.26,40228,True,Valve Stuck,2024-07-11,8461,Cargo
PART_00304,Actuator,Cloud Nine Aviation,FN_1121,48.54,191.54,1.94,22042,False,None,2024-03-27,4977,Private
PART_00231,Wheel Brake Assembly,AirJet Airways,FN_7720,55.86,216.33,9.95,19608,False,None,2024-04-23,4057,Cargo
PART_00427,Navigation Module,FlySwift,FN_4985,76.16,189.17,5.21,41202,False,Fuel Leakage,2024-08-25,8171,Cargo
PART_00389,Fuel Line,Sky High Airlines,FN_2807,73.81,43.67,6.41,13511,False,Pressure Loss,2024-09-25,6586,Cargo
PART_00448,Fuel Line,Sky High Airlines,FN_6031,109.07,20.31,2.53,17851,False,Valve Stuck,2024-05-22,6836,Private
PART_00219,Hydraulic Pump,Global Wings,FN_6106,107.66,172.6,1.64,27495,False,Valve Stuck,2024-01-15,7583,Short-Haul
PART_00461,Communication Module,Cloud Nine Aviation,FN_2368,56.63,127.77,6.68,17718,True,Turbine Overheat,2024-02-12,2394,Private
PART_00108,Fuel Injector,FlySwift,FN_1982,56.23,81.07,8.5,31455,False,None,2024-03-18,7679,Private
PART_00291,Hydraulic Pump,AirJet Airways,FN_3126,88.54,31.93,4.11,41972,True,Pressure Loss,2024-03-01,7846,Long-Haul
PART_00094,Actuator,Sky High Airlines,FN_5915,101.14,160.67,2.07,9317,False,Pressure Loss,2024-10-06,4294,Commercial
PART_00470,Hydraulic Pump,FlySwift,FN_3365,95.47,242.51,8.31,15485,False,Oil Leakage,2024-12-08,1848,Commercial
PART_00454,Fuel Line,AirJet Airways,FN_6086,76.98,149.78,2.57,12388,False,Turbine Overheat,2024-01-03,113,Cargo
PART_00435,Communication Module,FlySwift,FN_7456,110.75,219.25,0.57,37534,True,Seal Failure,2024-05-04,9745,Long-Haul
PART_00281,Hydraulic Pump,Global Wings,FN_3086,85.89,109.54,7.39,45126,False,Pressure Loss,2024-01-21,647,Short-Haul
PART_00008,Oil Pump,Cloud Nine Aviation,FN_3648,52.98,221.6,0.44,15877,False,Valve Stuck,2024-10-05,4723,Cargo
PART_00321,Fuel Injector,AirJet Airways,FN_9497,103.5,90.45,1.19,39596,True,Pressure Loss,2024-04-23,481,Private
PART_00076,Wheel Brake Assembly,AirJet Airways,FN_5292,53.71,22.18,3.02,19938,False,Pressure Loss,2024-08-13,1929,Cargo
PART_00443,Wheel Brake Assembly,FlySwift,FN_2972,80.03,159.43,7.73,46603,False,Oil Leakage,2024-02-25,9479,Cargo
PART_00257,Navigation Module,Sky High Airlines,FN_4041,119.85,68.49,1.92,5506,True,None,2024-05-11,5230,Short-Haul
PART_00437,Actuator,Sky High Airlines,FN_9246,61.32,240.72,6.43,29826,True,Turbine Overheat,2024-06-13,8303,Commercial
PART_00279,Actuator,Cloud Nine Aviation,FN_3471,66.14,297.43,7.84,28357,False,Valve Stuck,2024-09-10,2840,Private
PART_00254,Actuator,FlySwift,FN_9172,48.95,87.87,0.64,33842,False,Fuel Leakage,2024-08-12,3912,Long-Haul
PART_00284,Hydraulic Pump,Sky High Airlines,FN_9389,55.12,27.52,5.74,29459,True,Seal Failure,2024-03-09,1880,Commercial
PART_00329,Navigation Module,FlySwift,FN_2678,53.54,38.07,2.44,49737,False,Fuel Leakage,2024-08-27,3382,Long-Haul
PART_00383,Navigation Module,AirJet Airways,FN_5585,50.88,169.33,3.35,18329,False,None,2024-02-26,7171,Private
PART_00045,Fuel Line,FlySwift,FN_2847,104.41,248.19,0.97,29279,True,Pressure Loss,2024-01-03,5130,Commercial
PART_00424,Navigation Module,Sky High Airlines,FN_8406,90.88,13.06,7.2,14809,False,Seal Failure,2024-03-05,804,Cargo
PART_00101,Turbine Blade,Global Wings,FN_8280,45.53,61.18,8.92,1942,False,Seal Failure,2024-01-05,3586,Cargo
PART_00328,Control Valve,Sky High Airlines,FN_1827,75.86,245.69,1.82,1203,True,Fuel Leakage,2024-05-06,190,Long-Haul
PART_00071,Hydraulic Pump,FlySwift,FN_6813,92.25,56.96,2.58,5633,True,Seal Failure,2024-09-03,936,Long-Haul
PART_00045,Oil Pump,Global Wings,FN_4281,103.85,129.31,8.68,23757,True,Seal Failure,2024-09-01,1337,Cargo
PART_00382,Communication Module,Sky High Airlines,FN_4361,48.75,93.36,7.05,26638,True,Seal Failure,2024-04-04,7124,Long-Haul
PART_00246,Fuel Line,Sky High Airlines,FN_7007,70.75,59.95,4.71,19268,True,None,2024-08-20,6588,Long-Haul
PART_00461,Turbine Blade,Sky High Airlines,FN_9664,43.21,37.48,4.19,48407,False,Seal Failure,2024-11-24,8863,Private
PART_00015,Wheel Brake Assembly,FlySwift,FN_5987,88.96,188.97,6.54,27527,True,Fuel Leakage,2024-08-05,8529,Short-Haul
PART_00282,Navigation Module,AirJet Airways,FN_1015,64.0,229.56,6.11,46909,False,Pressure Loss,2024-09-28,9345,Private
PART_00495,Communication Module,Global Wings,FN_8295,49.7,21.69,0.94,22435,True,Fuel Leakage,2024-08-28,8168,Cargo
PART_00299,Communication Module,Global Wings,FN_3466,119.46,106.18,8.87,23500,False,Seal Failure,2024-08-16,8470,Commercial
PART_00455,Wheel Brake Assembly,Sky High Airlines,FN_4826,67.88,71.11,0.85,18088,False,None,2024-11-03,983,Commercial
PART_00267,Navigation Module,AirJet Airways,FN_9844,92.19,190.97,3.16,13838,True,None,2024-04-09,6972,Private
PART_00210,Hydraulic Pump,Global Wings,FN_3507,52.63,203.67,8.24,38474,False,Fuel Leakage,2024-08-02,1463,Private
PART_00125,Control Valve,Cloud Nine Aviation,FN_6054,78.16,140.67,7.13,9266,True,None,2024-09-08,4602,Long-Haul
PART_00263,Control Valve,AirJet Airways,FN_7428,55.14,73.29,5.36,34383,False,Fuel Leakage,2024-03-11,7771,Commercial
PART_00198,Actuator,Sky High Airlines,FN_7698,83.05,155.61,1.62,23663,True,None,2024-09-01,5976,Long-Haul
PART_00475,Turbine Blade,Global Wings,FN_3696,83.3,57.14,1.95,21632,False,Oil Leakage,2024-03-24,9444,Long-Haul
PART_00395,Control Valve,AirJet Airways,FN_7737,81.83,274.55,2.79,2276,True,Turbine Overheat,2024-09-26,2994,Cargo
PART_00091,Control Valve,Global Wings,FN_5770,85.29,30.24,9.29,21220,True,Turbine Overheat,2024-04-24,4932,Commercial
PART_00072,Hydraulic Pump,AirJet Airways,FN_7514,118.49,58.27,6.71,43694,True,Seal Failure,2024-10-22,2102,Cargo
PART_00319,Turbine Blade,Cloud Nine Aviation,FN_6643,67.91,134.66,2.85,12131,True,Valve Stuck,2024-08-03,7054,Commercial
PART_00182,Control Valve,Global Wings,FN_9062,113.88,64.59,9.38,10469,False,Turbine Overheat,2024-03-14,3854,Commercial
PART_00261,Wheel Brake Assembly,Cloud Nine Aviation,FN_5392,65.7,228.26,9.64,11457,False,Valve Stuck,2024-06-23,3396,Private
PART_00349,Fuel Injector,FlySwift,FN_8838,66.86,235.1,0.58,13060,False,Pressure Loss,2024-03-24,8900,Short-Haul
PART_00284,Turbine Blade,Global Wings,FN_8829,63.85,189.94,1.65,22424,True,Seal Failure,2024-08-21,2928,Short-Haul
PART_00380,Hydraulic Pump,Sky High Airlines,FN_5569,75.04,89.09,6.43,18828,True,Fuel Leakage,2024-03-14,2241,Long-Haul
PART_00283,Communication Module,AirJet Airways,FN_8053,111.84,206.98,5.72,25180,False,Seal Failure,2024-07-19,1320,Private
PART_00378,Fuel Line,Sky High Airlines,FN_6959,40.25,245.18,7.01,2406,False,Turbine Overheat,2024-08-14,7587,Long-Haul
PART_00020,Control Valve,Cloud Nine Aviation,FN_3242,118.45,184.27,3.69,25912,True,None,2024-03-11,9012,Short-Haul
PART_00178,Turbine Blade,Sky High Airlines,FN_9848,45.48,43.87,1.61,21235,True,Valve Stuck,2024-09-22,7436,Cargo
PART_00190,Control Valve,Cloud Nine Aviation,FN_6100,90.37,220.04,0.86,24409,False,Turbine Overheat,2024-01-20,2690,Long-Haul
PART_00206,Fuel Injector,FlySwift,FN_9895,91.6,297.05,1.78,26862,True,Valve Stuck,2024-09-07,1900,Commercial
PART_00229,Fuel Line,Global Wings,FN_5282,86.03,38.98,8.18,6675,True,Oil Leakage,2024-04-24,8793,Commercial
PART_00279,Wheel Brake Assembly,Cloud Nine Aviation,FN_2495,101.43,123.33,9.82,22058,False,None,2024-10-03,5563,Private
PART_00118,Fuel Line,Cloud Nine Aviation,FN_7031,59.89,43.59,1.24,45997,True,Seal Failure,2024-11-14,1180,Short-Haul
PART_00472,Wheel Brake Assembly,Sky High Airlines,FN_8415,104.35,194.86,4.63,16009,True,Fuel Leakage,2024-07-02,9598,Long-Haul
PART_00468,Wheel Brake Assembly,Cloud Nine Aviation,FN_8253,70.51,287.63,1.32,39643,False,Turbine Overheat,2024-08-27,2494,Cargo
PART_00159,Fuel Line,AirJet Airways,FN_6430,65.51,228.16,6.5,46504,False,Valve Stuck,2024-03-14,4780,Private
PART_00280,Wheel Brake Assembly,FlySwift,FN_6399,98.19,209.92,4.14,1667,True,Pressure Loss,2024-06-08,9222,Cargo
PART_00238,Actuator,Cloud Nine Aviation,FN_2932,110.51,100.23,5.51,41874,False,Seal Failure,2024-02-26,1560,Cargo
PART_00332,Actuator,Global Wings,FN_6337,107.29,133.73,0.03,16609,True,None,2024-05-02,4537,Short-Haul
PART_00009,Fuel Line,AirJet Airways,FN_4271,82.96,231.6,7.05,24840,False,None,2024-08-13,911,Short-Haul
PART_00442,Turbine Blade,Global Wings,FN_3351,47.34,132.33,5.45,31431,True,Oil Leakage,2024-02-10,270,Long-Haul
PART_00450,Oil Pump,Cloud Nine Aviation,FN_8953,110.26,248.06,0.93,14622,False,Valve Stuck,2024-01-02,9205,Long-Haul
PART_00464,Oil Pump,Sky High Airlines,FN_9790,46.48,192.89,7.67,12072,True,Pressure Loss,2024-01-02,1885,Short-Haul
PART_00028,Control Valve,Sky High Airlines,FN_7644,102.76,49.37,6.09,49172,False,Turbine Overheat,2024-08-27,7340,Long-Haul
PART_00173,Actuator,AirJet Airways,FN_7569,45.24,167.87,3.54,46922,False,Valve Stuck,2024-06-19,716,Private
PART_00156,Wheel Brake Assembly,Cloud Nine Aviation,FN_1877,72.27,147.03,6.65,35822,True,None,2024-07-10,1273,Private
PART_00284,Hydraulic Pump,Cloud Nine Aviation,FN_8789,40.88,183.03,6.87,2082,True,Valve Stuck,2024-10-06,5176,Long-Haul
PART_00320,Navigation Module,Sky High Airlines,FN_6433,53.37,275.27,8.86,25824,True,Valve Stuck,2024-01-04,5922,Private
PART_00462,Fuel Line,Sky High Airlines,FN_9949,51.84,119.12,5.81,41066,False,Valve Stuck,2024-02-24,9158,Cargo
PART_00137,Turbine Blade,Cloud Nine Aviation,FN_3275,91.67,177.3,7.7,44508,True,Seal Failure,2024-03-18,585,Cargo
PART_00173,Fuel Line,Cloud Nine Aviation,FN_8560,106.51,70.09,1.96,47739,False,None,2024-03-26,9726,Long-Haul
PART_00472,Communication Module,Sky High Airlines,FN_5173,97.29,123.87,9.32,40229,True,Pressure Loss,2024-09-16,7420,Cargo
PART_00456,Communication Module,Global Wings,FN_8088,84.72,164.26,5.35,18578,False,Oil Leakage,2024-04-01,3306,Cargo
PART_00367,Oil Pump,Sky High Airlines,FN_4995,53.9,173.41,2.9,7173,True,None,2024-03-03,179,Cargo
PART_00408,Navigation Module,AirJet Airways,FN_6533,94.15,41.91,5.87,2428,True,Turbine Overheat,2024-11-06,7683,Private
PART_00422,Hydraulic Pump,Sky High Airlines,FN_2299,45.17,230.86,8.06,2979,False,Valve Stuck,2024-07-15,8623,Cargo
PART_00154,Wheel Brake Assembly,Global Wings,FN_9219,93.2,154.6,6.17,45905,True,None,2024-02-02,8522,Cargo
PART_00196,Actuator,AirJet Airways,FN_3355,71.17,199.71,1.35,30135,True,None,2024-08-13,799,Private
PART_00070,Fuel Line,Sky High Airlines,FN_2075,65.93,274.64,3.87,28588,False,Seal Failure,2024-05-09,9527,Short-Haul
PART_00425,Control Valve,FlySwift,FN_1126,51.65,132.35,6.35,34341,True,Seal Failure,2024-11-25,119,Short-Haul
PART_00047,Communication Module,Sky High Airlines,FN_1869,66.33,103.59,7.54,26562,True,Oil Leakage,2024-09-17,6308,Commercial
PART_00139,Actuator,Global Wings,FN_4935,69.64,91.69,3.29,31127,True,Pressure Loss,2024-05-27,9278,Commercial
PART_00323,Wheel Brake Assembly,Sky High Airlines,FN_1412,112.83,145.49,8.09,2204,True,Oil Leakage,2024-11-26,4552,Commercial
PART_00078,Control Valve,Sky High Airlines,FN_2309,93.5,49.73,8.96,1967,False,Oil Leakage,2024-04-28,1450,Cargo
PART_00144,Fuel Injector,FlySwift,FN_4715,93.82,112.03,9.17,27671,True,Turbine Overheat,2024-01-21,3584,Long-Haul
